Course,Term_Offered,Campus
ARTS4822,Term 1 2019,"Main Campus, Kensington"
ARTS4823,Term 1 2019,"Main Campus, Kensington"
ARTS4824,Term 1 2019,"Main Campus, Kensington"
ARTS4825,Term 1 2019,"Main Campus, Kensington"
ARTS4826,Term 1 2019,"Main Campus, Kensington"
ARTS4827,Term 1 2019,"Main Campus, Kensington"
ARTS4828,Term 1 2019,"Main Campus, Kensington"
ARTS4829,Term 1 2019,"Main Campus, Kensington"
ARTS4830,Term 1 2019,"Main Campus, Kensington"
ARTS4831,Term 1 2019,"Main Campus, Kensington"
ARTS4832,Term 1 2019,"Main Campus, Kensington"
ARTS4833,Term 1 2019,"Main Campus, Kensington"
ARTS4834,Term 1 2019,"Main Campus, Kensington"
ARTS4835,Term 1 2019,"Main Campus, Kensington"
ARTS4836,Term 1 2019,"Main Campus, Kensington"
ARTS4837,Term 1 2019,"Main Campus, Kensington"
ARTS4838,Term 1 2019,"Main Campus, Kensington"
ARTS4839,Term 1 2019,"Main Campus, Kensington"
ARTS4840,Term 1 2019,"Main Campus, Kensington"
ARTS4841,Term 1 2019,"Main Campus, Kensington"
ARTS4900,Term 1 2019,"Main Campus, Kensington"
ARTS4901,Term 1 2019,"Main Campus, Kensington"
ARTS4902,Term 1 2019,"Main Campus, Kensington"
ARTS4903,Term 1 2019,"Main Campus, Kensington"
ARTS4904,Term 1 2019,"Main Campus, Kensington"
ARTS4905,Term 1 2019,"Main Campus, Kensington"
ARTS4906,Term 1 2019,"Main Campus, Kensington"
ARTS4907,Term 1 2019,"Main Campus, Kensington"
ARTS4912,Term 1 2019,"Main Campus, Kensington"
ARTS4913,Term 1 2019,"Main Campus, Kensington"
ARTS4914,Term 1 2019,"Main Campus, Kensington"
ARTS4915,Term 1 2019,"Main Campus, Kensington"
ARTS4916,Term 1 2019,"Main Campus, Kensington"
ARTS4917,Term 1 2019,"Main Campus, Kensington"
ARTS4918,Term 1 2019,"Main Campus, Kensington"
ARTS4919,Term 1 2019,"Main Campus, Kensington"
ARTS4920,Term 1 2019,"Main Campus, Kensington"
ARTS4921,Term 1 2019,"Main Campus, Kensington"
ARTS4922,Term 1 2019,"Main Campus, Kensington"
ARTS4923,Term 1 2019,"Main Campus, Kensington"
ARTS4924,Term 1 2019,"Main Campus, Kensington"
